,school.id,school.classification,school.province,teacher.student,rooms.student,mooe.student,teacher.mooe,rooms.mooe
443,102255,Elementary,Pangasinan,47.25,43.61538461538462,470.8994708994709,22250.0,20538.46153846154
444,101949,Elementary,Pangasinan,20.666666666666668,31.0,895.1612903225806,18500.0,27750.0
445,100061,Elementary,Ilocos Norte,43.2,36.0,643.5185185185185,27800.0,23166.666666666664
446,101473,Elementary,Pangasinan,38.1,38.1,553.8057742782153,21100.0,21100.0
447,101558,Elementary,Pangasinan,41.125,41.125,562.3100303951368,23125.0,23125.0
448,101270,Elementary,Pangasinan,36.77777777777778,33.1,610.2719033232628,22444.444444444445,20200.0
449,101271,Elementary,Pangasinan,22.833333333333332,19.571428571428573,883.2116788321168,20166.666666666668,17285.714285714286
450,102165,Elementary,Pangasinan,39.55555555555556,39.55555555555556,455.0561797752809,18000.0,18000.0
451,101641,Elementary,Pangasinan,44.0,44.0,526.2237762237762,23153.846153846156,23153.846153846156
452,101779,Elementary,Pangasinan,22.25,22.25,1078.6516853932585,24000.0,24000.0
453,100918,Elementary,La Union,29.0,24.166666666666668,827.5862068965517,24000.0,20000.0
454,100218,Elementary,Ilocos Norte,33.16666666666667,33.16666666666667,713.5678391959799,23666.666666666668,23666.666666666668
