School ID,rooms.standard.academic,rooms.standard.unused,rooms.nonstandard.academic,rooms.nonstandard.unused
101372,7,0,2,0
101721,15,0,0,0
100251,6,0,0,0
101373,9,0,0,0
101696,11,0,0,0
101263,6,0,0,0
101458,9,0,0,0
101204,10,0,0,0
101931,6,0,0,0
101205,6,0,0,0
100957,6,0,0,0
100427,8,0,0,0
100783,8,1,0,0
100089,18,1,0,0
101491,18,0,0,0
100859,6,0,0,0
100463,2,0,0,0
100702,6,0,0,0
101791,16,0,0,0
100665,6,0,0,0
101459,3,0,0,0
102128,12,0,0,0
102129,6,0,0,0
102130,6,1,0,0
100002,12,0,0,0
102154,14,3,0,0
100908,12,0,0,0
102253,18,0,0,0
101513,6,0,0,0
101264,9,0,0,0
101060,7,0,0,0
100666,2,0,0,0
100592,8,0,0,0
100128,6,0,0,0
100803,11,0,0,0
102205,9,0,0,0
100045,2,0,0,0
100180,2,0,0,0
102268,9,0,0,0
102267,7,0,0,0
151518,6,0,0,0
101534,9,1,0,0
101104,3,0,0,0
100234,9,0,0,0
102269,25,0,0,0
100025,10,0,0,0
100026,16,0,0,0
100428,7,0,0,0
100429,2,0,0,0
100430,6,0,0,0
100274,11,0,0,0
100917,7,0,0,0
100275,6,0,0,0
150502,1,0,0,0
100454,6,0,0,0
100289,2,0,0,0
101792,8,0,0,0
100860,9,0,0,0
150013,6,0,0,0
101090,12,0,0,0
101888,6,0,0,0
101556,12,2,0,0
102040,2,0,0,0
102183,6,0,0,0
101863,5,0,0,0
101323,10,0,0,0
100368,8,0,0,0
101673,6,0,0,0
101492,0,0,8,0
101170,7,0,0,0
101769,12,2,0,0
100743,3,0,0,0
101416,9,0,0,0
100875,25,0,0,1
101091,6,0,0,0
100162,2,0,0,0
102184,9,0,0,0
100810,10,0,0,0
102238,8,0,0,0
101171,6,0,0,0
101265,6,0,0,0
101061,6,0,0,0
102239,14,0,4,0
100973,6,0,0,0
101172,6,0,0,0
100090,6,0,2,0
102000,6,0,0,0
101889,5,0,0,0
100431,6,0,0,0
101339,12,0,1,0
101417,7,0,0,0
101629,7,0,0,0
101770,6,0,0,0
101535,4,0,0,0
102254,13,0,1,0
101227,3,0,0,0
100909,7,0,0,0
101655,3,0,0,0
101503,11,0,0,0
101324,9,0,0,0
101617,12,0,0,0
100557,6,0,0,0
101729,15,0,0,0
101748,14,0,0,0
151511,3,0,0,0
101460,9,0,0,0
101385,6,0,0,0
100618,11,0,0,0
101639,27,0,0,0
101418,8,0,0,0
100369,4,0,0,0
150503,1,1,0,0
100346,15,0,0,0
100046,11,1,0,0
101076,6,0,0,0
100974,6,0,0,0
100533,1,0,0,0
100331,3,0,1,0
100464,1,0,0,0
100892,8,0,0,0
100893,24,0,0,0
101021,7,0,0,0
100744,2,0,0,0
100516,3,0,0,0
100058,3,0,0,0
100013,6,0,0,0
100047,12,3,0,0
101228,16,0,0,0
102240,6,0,0,0
101266,12,0,0,0
101006,7,0,0,0
101229,4,0,0,0
100347,6,0,0,0
100059,16,0,0,0
150519,1,0,0,0
101230,9,0,0,0
101231,6,0,0,0
100370,14,0,0,0
101593,5,0,0,0
102019,6,0,0,0
100371,14,0,0,0
101504,7,2,0,0
101594,6,0,0,0
102041,7,1,0,0
102094,5,0,0,0
101851,7,0,0,0
100534,7,0,0,0
100348,6,0,0,0
101640,6,1,0,0
150010,3,0,3,0
100091,6,1,0,0
101654,6,0,0,0
100252,8,0,0,0
100639,6,0,0,0
100764,5,0,0,0
102095,6,0,0,0
100558,2,0,0,0
101536,8,1,0,0
100140,2,0,0,0
102120,12,0,0,0
101831,3,0,0,0
102062,6,0,0,0
100975,6,0,0,0
101022,6,0,0,0
102079,2,0,0,0
100910,2,0,0,0
100593,7,0,0,0
100235,2,0,0,0
100060,6,0,0,0
100497,6,0,0,0
100276,10,0,0,0
100118,9,0,0,0
101809,12,1,0,0
100640,2,0,0,0
150018,2,0,0,0
100745,9,0,0,0
100976,6,0,0,0
102206,6,0,0,0
101793,12,1,0,0
