School ID,Grade 7 Male,Grade 7 Female,Grade 8 Male,Grade 8 Female,Grade 9 Male,Grade 9 Female,Grade 10 Male,Grade 10 Female,Grade 11 Male,Grade 11 Female,Grade 12 Male,Grade 12 Female,SPED NG Male,SPED NG Female
302943,51,43,33,26,25,20,29,20,0,0,0,0,0,0
302944,34,37,27,37,24,19,20,30,0,0,0,0,0,0
302945,337,319,287,294,235,256,210,223,0,0,0,0,0,0
302946,35,29,24,19,19,22,26,26,0,0,0,0,0,0
302947,44,41,33,25,20,18,15,17,0,0,0,0,0,0
302948,58,60,53,41,48,53,32,40,0,0,0,0,0,0
302949,147,170,187,165,141,164,130,125,0,0,0,0,0,0
302950,28,19,37,34,28,24,39,32,0,0,0,0,0,0
302951,82,80,77,77,55,62,79,56,0,0,0,0,0,0
302952,44,39,33,40,25,30,20,25,0,0,0,0,0,0
302953,56,39,52,47,58,34,37,51,0,0,0,0,0,0
302954,43,35,46,29,39,30,31,24,0,0,0,0,0,0
302955,224,189,147,189,140,138,116,141,0,0,0,0,0,0
302956,40,36,38,38,48,77,65,57,0,0,0,0,0,0
302957,258,239,179,213,185,224,174,194,0,0,0,0,0,0
302958,35,31,46,47,38,36,32,47,0,0,0,0,0,0
302959,61,61,40,73,48,56,35,51,0,0,0,0,0,0
302960,45,42,42,35,42,35,26,32,0,0,0,0,0,0
302961,115,103,127,96,118,101,105,87,0,0,0,0,0,0
302962,58,47,49,40,40,24,41,35,0,0,0,0,0,0
302963,43,43,39,38,30,35,22,41,0,0,0,0,0,0
302964,106,75,77,76,79,56,60,70,0,0,0,0,0,0
302965,66,75,77,66,71,60,52,52,0,0,0,0,0,0
302966,63,70,61,53,46,61,51,56,0,0,0,0,0,0
302967,163,154,147,141,106,121,93,116,0,0,0,0,0,0
302968,146,108,114,123,99,122,75,95,0,0,0,0,0,0
302969,57,38,47,49,46,28,39,47,0,0,0,0,0,0
302970,19,23,18,17,16,17,21,21,0,0,0,0,0,0
302971,218,250,222,254,183,199,161,171,0,0,0,0,0,0
302972,218,203,156,169,158,157,111,156,0,0,0,0,0,0
302973,342,359,360,342,276,354,239,289,0,0,0,0,0,0
302974,60,56,38,53,42,55,49,55,0,0,0,0,0,0
302975,101,104,102,113,89,85,72,81,0,0,0,0,0,0
302976,33,23,31,21,33,32,25,26,0,0,0,0,0,0
302977,82,87,75,83,50,72,81,84,0,0,0,0,0,0
302978,84,70,62,78,50,68,71,46,0,0,0,0,0,0
302979,54,38,39,38,33,21,40,26,0,0,0,0,0,0
302980,37,27,23,19,17,18,14,18,0,0,0,0,0,0
302981,64,59,48,46,53,42,45,37,0,0,0,0,0,0
302982,35,27,16,30,19,28,24,12,0,0,0,0,0,0
302983,92,58,73,65,43,56,58,65,0,0,0,0,0,0
302984,94,85,102,77,85,70,62,74,0,0,0,0,0,0
302985,242,209,176,167,139,176,132,181,0,0,0,0,0,0
302986,26,18,20,17,22,15,19,24,0,0,0,0,0,0
302987,94,78,69,77,56,60,56,57,0,0,0,0,0,0
302988,268,296,242,275,200,236,272,350,0,0,0,0,0,0
302989,124,80,147,106,125,113,110,123,0,0,0,0,0,0
302990,126,118,120,112,100,96,96,100,0,0,0,0,0,0
302991,104,97,97,94,82,85,68,78,0,0,0,0,0,0
302992,35,27,48,35,38,33,47,24,0,0,0,0,0,0
302993,101,99,102,97,87,69,76,66,0,0,0,0,0,0
